date,description,amount,type
2025-08-01,TRANSFER FROM ABC CORP - INVOICE 1001,4500.00,income
2025-08-03,SHELL PETROL STATION,85.50,expense
2025-08-05,OFFICE RENT PAYMENT - AUGUST,2000.00,expense
2025-08-07,TRANSFER FROM JOHN SMITH CONSULTING,1200.00,income
2025-08-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,54.99,expense
2025-08-10,BUNNINGS WAREHOUSE - TOOLS,245.00,expense
2025-08-12,AWS CLOUD SERVICES,128.45,expense
2025-08-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2025-08-15,PAYROLL - STAFF WAGES,4200.00,expense
2025-08-17,BP FUEL STATION,72.30,expense
2025-08-18,TELSTRA MOBILE PLAN,89.00,expense
2025-08-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2025-08-22,OFFICEWORKS - STATIONERY,67.50,expense
2025-08-25,TRANSFER FROM SARAH JONES,850.00,income
2025-08-27,ELECTRICITY BILL - AGL ENERGY,342.00,expense
2025-08-29,CALTEX PETROL,91.20,expense
2025-08-30,SLACK SUBSCRIPTION,12.50,expense
2025-09-01,TRANSFER FROM ABC CORP - INVOICE 1002,4500.00,income
2025-09-02,SHELL PETROL STATION,78.90,expense
2025-09-03,UBER EATS - CLIENT LUNCH,45.50,expense
2025-09-05,OFFICE RENT PAYMENT - SEPTEMBER,2000.00,expense
2025-09-07,TRANSFER FROM MIKE WILSON SERVICES,2100.00,income
2025-09-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,54.99,expense
2025-09-10,JB HI-FI - COMPUTER EQUIPMENT,899.00,expense
2025-09-12,AWS CLOUD SERVICES,145.20,expense
2025-09-14,TRANSFER FROM XYZ PTY LTD,3200.00,income
2025-09-15,PAYROLL - STAFF WAGES,4200.00,expense
2025-09-17,BP FUEL STATION,88.40,expense
2025-09-18,TELSTRA MOBILE PLAN,89.00,expense
2025-09-19,FACEBOOK ADS,250.00,expense
2025-09-20,GOOGLE WORKSPACE SUBSCRIPTION,18.00,expense
2025-09-22,VISTAPRINT - BUSINESS CARDS,120.00,expense
2025-09-24,TRANSFER FROM NEW CLIENT - ACME INC,1500.00,income
2025-09-27,GAS BILL - ORIGIN ENERGY,156.00,expense
2025-09-28,CALTEX PETROL,95.60,expense
2025-09-30,SLACK SUBSCRIPTION,12.50,expense
2025-10-01,TRANSFER FROM ABC CORP - INVOICE 1003,4500.00,income
2025-10-02,ZOOM PRO SUBSCRIPTION,21.99,expense
2025-10-03,SHELL PETROL STATION,102.30,expense
2025-10-05,OFFICE RENT PAYMENT - OCTOBER,2000.00,expense
2025-10-07,TRANSFER FROM JOHN SMITH CONSULTING,1200.00,income
2025-10-08,ADOBE CREATIVE CLOUD SUBSCRIPTION,54.99,expense
